InvestigationID,NoComplaintsReportedNHTSA,NoCrashesFiresReportedNHTSA,NoInjuryIncidentsReportedNHTSA,NoInjuriesReportedNHTSA,NoFatalityIncidentsReportedNHTSA,NoFatalitiesReportedNHTSA,NoOtherFailuresReportedNHTSA,NoComplaintsReportedMfr,NoCrashesFiresReportedMfr,NoInjuryIncidentsReportedMfr,NoInjuriesReportedMfr,NoFatalityIncidentsReportedMfr,NoFatalitiesReportedMfr,NoOtherFailuresReportedMfr,NoComplaintsReported,NoCrashesFiresReported,NoInjuryIncidentsReported,NoInjuriesReported,NoFatalityIncidentsReported,NoFatalitiesReported,NoOtherFailuresReported,Population,InvestigationType,PDSentiment,SummarySentiment,NoPDUptoQuarter,NoDIUptoQuarter,NoIIUptoQuarter,NoIDUptoQuarter,Data,OpenedYear,ClosedYear
AQ09001,0,0,0,,0,,,,,,,,,,,,,,,,,1000,Audit Query,.1779,-.3182,,,,,Opened,2009,
AQ09002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,Audit Query,-.128,0,,,,,Opened,2009,
AQ10001,0,0,0,,0,,,,,,,,,,,,,,,,,2946575,Audit Query,0,.7184,77033,126,1995,675717,Opened,2010,
AQ12001,,,,,,,,,,,,,,,,,,,,,,219446,Audit Query,-.0258,.8126,25,3,70,496,Opened,2012,
AQ12002,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.4215,.7506,3067,6,139,66470,Opened,2012,
AQ12003,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.4215,.7506,33,,,,Opened,2012,
AQ14001,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.5994,.8176,3792,1,16,9335,Opened,2014,
AQ14002,,,,,,,,,,,,,,,,,,,,,,1000,Audit Query,-.34,-.9382,,,,,Opened,2014,
AQ14003,,,,,,,,,,,,,,,,,,,,,,971721,Audit Query,-.7003,-.8689,,2,5,41,Opened,2014,
AQ14004,,,,,,,,,,,,,,,,,,,,,,2,Audit Query,-.5994,-.9922,151,5,205,17369,Opened,2014,
AQ15001,,,,,,,,,,,,,,,,,,,,,,1368,Audit Query,.4215,.872,,,,,Opened,2015,
AQ15002,,,,,,,,,,,,,,,,,,,,,,48,Audit Query,.1027,-.4215,,,,,Opened,2015,
AQ15003,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.4215,.743,,,,,Opened,2015,
AQ15004,,,,,,,,,,,,,,,,,,,,,,30456,Audit Query,.4215,.6705,,,,,Opened,2015,
AQ16001,,,,,,,,,,,,,,,,,,,,,,1170,Audit Query,.5994,.8176,,,,,Opened,2016,
AQ17001,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.7717000000000001,.9349,941,2,37,6015,Opened,2017,
AQ17002,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.4215,.8834,2716,1,94,82053,Opened,2017,
AQ17003,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.4215,.7506,,,1,9,Opened,2017,
AQ17004,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.6486,.7506,,,,,Opened,2017,
AQ17005,,,,,,,,,,,,,,,,,,,,,,16779,Audit Query,-.6908,.1779,,,,,Opened,2017,
AQ18001,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,.4215,.5994,,,,,Opened,2018,
AQ18002,,,,,,,,,,,,,,,,,,,,,,464361,Audit Query,0,.7096,5142,103,181,2220,Opened,2018,
AQ18003,,,,,,,,,,,,,,,,,,,,,,519052,Audit Query,.7184,-.7096,,,,,Opened,2018,
AQ18004,,,,,,,,,,,,,,,,,,,,,,1419373,Audit Query,-.34,.9371,,,,,Opened,2018,
AQ18005,,,,,,,,,,,,,,,,,,,,,,10000,Audit Query,-.128,-.3818,79,5,22,37,Opened,2018,
AQ18006,,,,,,,,,,,,,,,,,,,,,,1,Audit Query,-.4215,-.7964,,,,,Opened,2018,
AQ20001,,,,,,,,,,,,,,,,,,,,,,,Audit Query,.4019,,,,,,Opened,2020,
AQ21001,,,,,,,,,,,,,,,,,,,,,,1808,Audit Query,.1027,-.9648,,,,,Opened,2021,
DP09001,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230517,Defect Petition,-.2263,-.9153,,,,,Opened,2009,
DP09002,11,0,0,0,0,0,0,,,,,,,,,,,,,,,200000,Defect Petition,0,-.9001,,,2,35,Opened,2009,
DP09004,1,0,0,0,0,0,0,,,,,,,,,,,,,,,105500,Defect Petition,-.2023,-.8194,2479,1,43,15420,Opened,2009,
DP09005,12,12,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3037000,Defect Petition,,-.9336,8003,41,299,116405,Opened,2009,
DP09006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,58,Defect Petition,-.4019,-.6124000000000001,,,,,Opened,2009,
DP10001,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639649,Defect Petition,.2584,-.5574,43041,36,597,250740,Opened,2010,
DP10002,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,3000,Defect Petition,-.5106000000000001,-.7964,,,,,Opened,2010,
DP10003,0,0,0,,0,,1,,,,,,,,,,,,,,,189000,Defect Petition,-.3182,-.9186,,,,,Opened,2010,
DP10004,1,1,1,4,1,1,22,,,,,,,,,,,,,,,25000,Defect Petition,-.6597,-.9801,73,3,97,7522,Opened,2010,
DP10005,5,0,0,,0,,0,,,,,,,,5,0,0,,0,,,30300,Defect Petition,-.3182,-.9674,2807,8,84,30592,Opened,2010,
DP11001,0,0,0,,0,,1,,,,,,,,,,,,,,,170000,Defect Petition,-.6486,-.979,1634,2,57,26231,Opened,2011,
DP12001,95,0,0,,0,,70,,,,,,,,95,0,0,,,,70,15413,Defect Petition,-.8519,-.8779,,,,,Opened,2012,
DP12002,35,0,0,0,0,0,,,,,,,,,,,,,,,,142000,Defect Petition,-.34,-.93,55,3,7,775,Opened,2012,
DP12003,415,0,0,0,0,0,,,,,,,,,,,,,,,,248253,Defect Petition,-.5266999999999999,-.6908,15604,,186,76564,Opened,2012,
DP12004,512,0,0,0,0,0,,,,,,,,,,,,,,,,857432,Defect Petition,-.4939,-.802,1072,14,75,1246,Opened,2012,
DP12005,78,10,7,7,1,1,,,,,,,,,,,,,,,,680000,Defect Petition,-.4588,.1531,11326,26,330,93438,Opened,2012,
DP12006,2,0,0,0,0,0,,,,,,,,,,,,,,,,1600000,Defect Petition,-.7579,-.9313,12370,18,257,54593,Opened,2012,
DP13001,1,0,0,0,0,0,1,,,,,,,,,,,,,,,561000,Defect Petition,0,.296,17644,16,440,182844,Opened,2013,
DP13002,1,0,0,0,0,0,,,,,,,,,,,,,,,,23920,Defect Petition,-.296,-.8519,740,,4,1244,Opened,2013,
DP14001,1,0,0,0,0,0,,,,,,,,,,,,,,,,320000,Defect Petition,-.7184,-.9856,5557,5,196,127252,Opened,2014,
DP14002,8,0,0,0,0,0,,,,,,,,,,,,,,,,160000,Defect Petition,-.2023,-.8739,18518,70,801,229631,Opened,2014,
DP14003,1,1,0,0,0,0,141,,,,,,,,,,,,,,,1690000,Defect Petition,-.8126,-.9847,17513,60,1218,556984,Opened,2014,
DP14004,1,0,0,0,0,0,63,,,,,,,,,,,,,,,4900000,Defect Petition,-.7964,-.9928,30267,24,657,142057,Opened,2014,
DP15001,1,0,0,0,0,0,,,,,,,,,,,,,,,,740878,Defect Petition,-.5574,-.9766,10113,6,214,35966,Opened,2015,
DP15002,1,0,0,0,0,0,604,,,,,,,,,,,,,,,517945,Defect Petition,-.6808,-.9287,9933,14,176,56262,Opened,2015,
DP15003,158,0,0,0,0,0,,,,,,,,,,,,,,,,15000,Defect Petition,.5859,-.7003,1005,1,8,2816,Opened,2015,
DP15004,1,1,0,0,1,1,1,,,,,,,,,,,,,,,58000,Defect Petition,0,-.9674,2265,2,22,7093,Opened,2015,
DP15005,1,1,0,0,0,0,2,,,,,,,,,,,,,,,42833,Defect Petition,.6126,-.6622,,,,,Opened,2015,
DP15006,3,0,1,1,0,,6,,,,,,,,3,0,1,1,0,,,16000,Defect Petition,-.5106000000000001,-.962,,,,,Opened,2015,
DP15007,1,1,0,0,0,0,,,,,,,,,,,,,,,,18117,Defect Petition,-.6249,-.7096,,,,,Opened,2015,
DP15008,29,0,2,2,0,0,1,,,,,,,,,,,,,,,1736,Defect Petition,-.7845,-.9806,,,,,Opened,2015,
DP16001,1,0,0,0,0,0,933,,,,,,,,,,,,,,,91205,Defect Petition,-.5106000000000001,-.9623,12813,8,255,385414,Opened,2016,
DP16002,5,0,0,0,0,0,,,,,,,,,5,,,,,,,39627,Defect Petition,-.6597,-.9022,623,1,29,596,Opened,2016,
DP17001,0,0,0,0,0,0,1,,,,,,,,,,,,,,,10000,Defect Petition,-.5423,-.7906,,,,,Opened,2017,
DP17002,1,0,0,0,0,0,35,,,,,,,,,,,,,,,29573,Defect Petition,-.2023,-.907,694,,13,3679,Opened,2017,
DP17003,0,0,0,0,0,0,57,,,,,,,,,,,,,,,140000,Defect Petition,-.6124000000000001,-.8126,725,1,24,11120,Opened,2017,
DP18001,3,0,0,0,0,0,23,,,,,,,,,,,,,,,47000,Defect Petition,-.4588,-.8869,18,8,36,257,Opened,2018,
DP18002,1,0,0,0,0,0,,,,,,,,,,,,,,,,520059,Defect Petition,-.3182,-.9448,11886,8,133,40372,Opened,2018,
DP18003,120,120,0,0,0,0,229,,,,,,,,,,,,,,,2200000,Defect Petition,0,-.9524,6148,41,604,19853,Opened,2018,
DP18004,2,0,0,0,0,0,,,,,,,,,,,,,,,,220000,Defect Petition,-.3182,-.9756,,,,,Opened,2018,
DP19001,0,0,0,0,0,0,87,,,,,,,,,,,,,,,674742,Defect Petition,-.34,-.9499,242,5,28,902,Opened,2019,
DP19002,1,0,0,0,0,0,,,,,,,,,,,,,,,,10000,Defect Petition,-.8689,-.9702,64,,4,84,Opened,2019,
DP19003,157,1,0,0,0,0,5,,,,,,,,,,,,,,0,9300,Defect Petition,-.4404,-.9093,,,1,71,Opened,2019,
DP19004,0,0,0,0,0,0,3,,,,,,,,,,,,,,3,1120300,Defect Petition,0,-.3818,26557,16,1002,521361,Opened,2019,
DP19005,0,0,0,0,0,0,4,,,,,,,,,,,,,,4,2000,Defect Petition,-.4019,-.8979,120,10,55,307,Opened,2019,
DP20001,0,0,0,0,0,0,123,,,,,,,,,,,,,,,500000,Defect Petition,-.7845,-.9530999999999999,252,16,82,483,Opened,2020,
DP20002,0,0,0,0,0,0,7,,,,,,,,,,,,,,,91205,Defect Petition,0,,13164,8,262,388971,Opened,2020,
DP20003,1,1,0,,1,1,,,,,,,,,1,1,0,,1,1,,10000,Defect Petition,-.7003,,,,,,Opened,2020,
DP20004,1,0,0,0,0,0,,,,,,,,,1,,,,,,,50000,Defect Petition,0,-.9442,30,,63,4058,Opened,2020,
DP20005,1,0,0,0,0,0,4,,,,,,,,,,,,,,,374266,Defect Petition,-.7184,-.8428,671,2,206,61339,Opened,2020,
DP21001,1,0,0,0,0,0,,,,,,,,,,,,,,,,3438,Defect Petition,-.5423,-.8885,,,,,Opened,2021,
EA09001,16,11,0,,0,,0,28,10,0,,0,,92,36,17,0,,0,,92,754500,Engineering Analysis,-.4019,-.9771,164,4,253,24806,Opened,2009,
EA09002,6,2,0,0,0,0,0,33,1,0,0,0,0,1549,36,3,0,0,0,0,1549,48218,Engineering Analysis,0,-.8401999999999999,6932,,21,10191,Opened,2009,
EA09003,1,3,0,0,0,0,0,75,9,2,12,0,0,0,76,12,2,12,0,0,0,193000,Engineering Analysis,-.6808,-.9954,15,,3,6,Opened,2009,
EA09004,54,0,0,0,0,0,0,348,0,0,0,0,0,0,402,0,0,0,,0,0,250000,Engineering Analysis,0,-.6249,9516,15,189,88376,Opened,2009,
EA09005,0,0,0,0,0,0,0,74,0,0,0,0,0,4853,74,0,0,0,0,0,4853,13836,Engineering Analysis,-.5719,-.9313,22,,1,27,Opened,2009,
EA09006,64,0,0,0,0,0,0,96,0,0,0,0,0,23,23357,153,0,0,0,0,23357,68289,Engineering Analysis,-.3744,-.8252,733,,13,952,Opened,2009,
EA09007,1,0,0,0,0,0,0,4,0,0,0,0,0,36,5,0,0,0,0,0,36,6500,Engineering Analysis,0,0,4,,2,44,Opened,2009,
EA09008,0,0,0,0,0,0,0,6,0,0,0,0,0,1645,6,0,0,0,0,0,1645,84573,Engineering Analysis,.0258,-.9389999999999999,64,2,2,16,Opened,2009,
EA09009,0,0,0,0,0,0,0,3,0,0,0,0,0,31,3,0,0,0,0,0,31,1000,Engineering Analysis,-.1531,.128,,1,,1,Opened,2009,
EA09010,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,1000,Engineering Analysis,0,-.4337,,,,,Opened,2009,
EA09011,256,0,0,0,0,0,0,688,1,0,0,0,0,478,944,1,0,0,0,0,478,43254,Engineering Analysis,0,-.8387,108,6,45,982,Opened,2009,
EA09012,2,0,0,0,0,0,0,0,0,0,0,0,0,359,2,0,0,0,0,0,359,30000,Engineering Analysis,-.296,-.8957000000000001,,,,,Opened,2009,
EA09013,18,9,4,4,0,0,4,182,76,27,28,0,0,879,200,85,31,32,0,0,883,1500000,Engineering Analysis,0,-.886,19023,121,908,322666,Opened,2009,
EA09014,62,4,3,7,0,0,0,574,8,1,2,0,0,2186,610,10,3,7,0,0,2186,343924,Engineering Analysis,-.5106000000000001,-.9712,36,1,7,549,Opened,2009,
EA09016,124,0,0,0,0,0,0,580,1,0,0,0,0,2791,654,1,0,0,0,0,2791,205219,Engineering Analysis,-.8555,-.9451000000000001,3347,5,84,27346,Opened,2009,
