FirstComplaintToInvOpening,InvOpeningToClosing,NoNHTSACampaignNumbers,InvClosingToRecall,RecallToOwnerNotification,RecallSize,RecallScope,NoManufacturers,RecallType,InfluencedBy,NoPDUptoQuarterOfRcl,NoDIUptoQuarterOfRcl,NoIIUptoQuarterOfRcl,NoIDUptoQuarterOfRcl,MfrAwarenessToRecall,SupplierMentioned,OpenedYear,ClosedYear,RecallYear
839,1594,0,,,,,,,,,,,,,,2012,2016,
895,461,0,,,,,,,,,,,,,,2019,2020,
205,1170,0,,,,,,,,,,,,,,2015,2018,
188,193,0,,,,,,,,,,,,,,2015,2016,
3896,1101,0,,,,,,,,,,,,,,2017,2020,
562,649,0,,,,,,,,,,,,,,2018,2020,
,3221,0,,,,,,,,,,,,,,2009,2018,
232,172,0,,,,,,,,,,,,,,2016,2017,
2226,524,0,,,,,,,,,,,,,,2014,2016,
,132,0,,,,,,,,,,,,,,2009,2009,
9,1092,0,,,,,,,,,,,,,,2010,2013,
,428,0,,,,,,,,,,,,,,2010,2011,
3,130,0,,,,,,,,,,,,,,2012,2012,
,111,0,,,,,,,,,,,,,,2009,2009,
4750,1435,0,,,,,,,,,,,,,,2017,2021,
204,169,0,,,,,,,,,,,,,,2014,2015,
,251,0,,,,,,,,,,,,,,2009,2010,
1598,262,0,,,,,,,,,,,,,,2011,2012,
,228,0,,,,,,,,,,,,,,2010,2011,
-99,142,0,,,,,,,,,,,,,,2012,2013,
,41,0,,,,,,,,,,,,,,2015,2015,
,98,0,,,,,,,,,,,,,,2009,2009,
,147,0,,,,,,,,,,,,,,2010,2010,
,194,0,,,,,,,,,,,,,,2010,2010,
,53,0,,,,,,,,,,,,,,2012,2012,
649,200,0,,,,,,,,,,,,,,2018,2018,
,519,0,,,,,,,,,,,,,,2009,2010,
4577,189,0,,,,,,,,,,,,,,2016,2016,
482,236,0,,,,,,,,,,,,,,2019,2020,
,171,0,,,,,,,,,,,,,,2013,2014,
,501,0,,,,,,,,,,,,,,2010,2011,
63,66,0,,,,,,,,,,,,,,2009,2009,
1379,187,0,,,,,,,,,,,,,,2017,2017,
